COUNTY,Year,Total Dollar Damage,Total Acres Burned,Arson,Campfire,Debris Burning,Elec. Power,Equip. Use,Ltng.,Misc.,P-W-F,Rail- road,Smoking,Undet.,Vehicle,Total Fires,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres or >,Population,Prec_Value,Prec_Rank,Prec_Anomaly,Prec_Mean(1901-2000),MT_Value,MT_Rank,MT_Anomaly,MT_Mean(1901-2000),AT_Value,AT_Rank,AT_Anomaly,AT_Mean(1901-2000),BUILDVALUE,AGRIVALUE,AREA,EAL_VALB,EAL_VALP,EAL_VALA,RESL_SCORE,LTNG_EALS,WFIR_RISKS
Alameda,2021,"11,335",63,3,0,0,6,4,0,7,1,0,2,14,11,48,24,23,1,0,0,0,0,"1,654,938",17.96,64,-0.79,18.75,71.3,123,2.7,68.6,60.4,123,2.5,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2020,"101,020,955","25,141",8,0,1,10,5,4,6,1,0,1,7,18,61,8,38,8,4,1,1,1,"1,676,458",8.42,4,-10.33,18.75,72.9,128,4.3,68.6,61.7,127,3.9,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2019,"96,100",262,7,2,0,3,4,0,4,0,0,0,9,11,40,12,16,12,0,0,0,0,"1,671,329",22.29,96,3.54,18.75,70,102,1.4,68.6,59.7,116,1.8,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2018,"155,477",810,3,0,0,0,5,0,11,0,0,0,19,3,41,11,23,5,1,1,0,0,"1,666,756",16.57,52,-2.18,18.75,70.7,117,2,68.6,59.8,117,1.9,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2017,"14,101",503,3,0,0,4,2,1,7,0,0,0,16,2,35,15,14,2,4,0,0,0,"1,660,196",24.97,110,6.22,18.75,71.2,122,2.5,68.6,60.5,125,2.6,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2016,"32,410",170,0,0,0,8,4,0,4,0,0,0,16,7,39,10,20,9,0,0,0,0,"1,650,950",22.55,98,3.8,18.75,70.9,120,2.2,68.6,60.4,123,2.5,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2015,"1,826,231","3,458",0,1,2,6,5,2,4,0,0,0,21,9,50,14,26,8,1,0,1,0,"1,634,538",10.39,9,-8.36,18.75,71.9,125,3.2,68.6,61.1,126,3.2,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2014,"248,252",130,0,1,0,6,5,0,1,0,0,1,13,6,33,14,15,4,0,0,0,0,"1,607,792",19.88,79,1.13,18.75,72.8,127,4.2,68.6,62,128,4.1,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2013,"142,125",843,1,0,1,7,8,0,1,0,0,1,15,12,46,13,20,11,2,0,0,0,"1,579,593",5.08,1,-13.67,18.75,70.8,120,2.1,68.6,59.5,109,1.6,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2012,"17,100",115,0,0,0,0,0,3,5,0,0,0,7,0,15,3,9,3,0,0,0,0,"1,553,764",20.78,85,2.03,18.75,70.3,112,1.7,68.6,59.3,105,1.4,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2011,"487,750","1,507",1,0,0,9,0,16,5,0,0,0,14,4,49,15,24,7,1,2,0,0,"1,530,915",14.53,34,-4.22,18.75,68.4,47,-0.2,68.6,57.9,60,0,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2010,"264,450",850,0,0,1,8,0,12,0,1,0,0,21,2,45,12,26,4,2,1,0,0,"1,510,258",23.17,103,4.42,18.75,68.2,38,-0.4,68.6,58.3,75,0.4,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2009,"264,450",45,0,0,2,8,0,12,0,1,0,0,25,2,50,20,22,7,1,0,0,0,"1,491,482",17.32,60,-1.43,18.75,69.7,95,1.1,68.6,59,97,1.1,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alameda,2008,"81,300",195,1,0,2,7,0,20,0,0,0,0,19,4,53,26,22,5,0,0,0,0,"1,470,326",14.18,31,-4.57,18.75,70.1,106,1.5,68.6,59.1,100,1.2,57.9,332594614555,52949888,829.4988628,823284704.2,33.00614822,5972338.153,83.48000336,9.523809524,96.18199173
Alpine,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,181",37.65,82,1.51,36.14,58.1,125,3.2,54.9,46.4,126,3.1,43.3,861599744,2277225,750.6914653,1142909.076,0.09506568913,159.872273,44.77999878,3.056628057,81.64174356
Alpine,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,201",20.43,4,-15.71,36.14,58.2,127,3.4,54.9,46.3,125,3,43.3,861599744,2277225,750.6914653,1142909.076,0.09506568913,159.872273,44.77999878,3.056628057,81.64174356
Alpine,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,129",47.21,107,11.07,36.14,54.5,44,-0.4,54.9,43.5,73,0.2,43.3,861599744,2277225,750.6914653,1142909.076,0.09506568913,159.872273,44.77999878,3.056628057,81.64174356
Alpine,2018,0,204,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1,089",32.2,52,-3.94,36.14,57.3,120,2.4,54.9,45.7,122,2.4,43.3,861599744,2277225,750.6914653,1142909.076,0.09506568913,159.872273,44.77999878,3.056628057,81.64174356
Alpine,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,111",64.24,127,28.1,36.14,56.5,109,1.6,54.9,45.4,120,2.1,43.3,861599744,2277225,750.6914653,1142909.076,0.09506568913,159.872273,44.77999878,3.056628057,81.64174356
Alpine,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,047",39.63,89,3.49,36.14,57,118,2.2,54.9,45.9,123,2.6,43.3,861599744,2277225,750.6914653,1142909.076,0.09506568913,159.872273,44.77999878,3.056628057,81.64174356
Amador,2021,"386,100",245,10,1,15,5,14,2,5,0,0,1,5,5,63,38,20,5,0,0,0,0,"40,222",34.53,68,-0.7,35.23,72.5,121,2.8,69.7,60,125,2.8,57.2,8125867642,35589294,612.0676341,8622287.358,0.1987385651,5381404.035,43.18999863,25.9009009,97.39102768
Amador,2020,"19,300",87,8,1,24,8,7,0,7,0,0,2,7,9,73,47,25,1,0,0,0,0,"40,446",20.32,5,-14.91,35.23,72.8,123,3.1,69.7,60.4,127,3.2,57.2,8125867642,35589294,612.0676341,8622287.358,0.1987385651,5381404.035,43.18999863,25.9009009,97.39102768
Amador,2019,"82,201",196,6,0,21,5,8,1,6,3,0,2,7,11,70,35,32,2,1,0,0,0,"39,752",48.65,112,13.42,35.23,69.6,59,-0.1,69.7,57.8,87,0.6,57.2,8125867642,35589294,612.0676341,8622287.358,0.1987385651,5381404.035,43.18999863,25.9009009,97.39102768
Amador,2018,"1,091,200",883,3,0,19,5,10,0,15,0,0,0,9,4,65,42,21,1,0,1,0,0,"39,405",34.04,64,-1.19,35.23,72.4,120,2.6,69.7,59.7,123,2.5,57.2,8125867642,35589294,612.0676341,8622287.358,0.1987385651,5381404.035,43.18999863,25.9009009,97.39102768
Amador,2017,"11,957",152,0,2,13,9,6,1,11,0,0,3,13,6,64,33,26,5,0,0,0,0,"38,529",55.94,124,20.71,35.23,71.5,110,1.7,69.7,59.5,121,2.3,57.2,8125867642,35589294,612.0676341,8622287.358,0.1987385651,5381404.035,43.18999863,25.9009009,97.39102768
Amador,2016,"307,070",383,2,0,17,6,7,1,7,0,0,3,5,9,57,29,21,6,1,0,0,0,"37,429",41.01,91,5.78,35.23,71.4,108,1.6,69.7,59.2,119,2,57.2,8125867642,35589294,612.0676341,8622287.358,0.1987385651,5381404.035,43.18999863,25.9009009,97.39102768
Amador,2015,"1,000,000,709","70,892",2,1,14,5,1,4,5,0,0,1,9,4,46,28,17,0,0,0,0,1,"37,031",26.66,32,-8.57,35.23,72.9,125,3.2,69.7,60.4,127,3.1,57.2,8125867642,35589294,612.0676341,8622287.358,0.1987385651,5381404.035,43.18999863,25.9009009,97.39102768
Amador,2014,"152,901",179,2,3,14,6,12,1,15,1,0,0,9,4,67,48,17,1,1,0,0,0,"36,726",31.29,51,-3.94,35.23,73.3,128,3.6,69.7,61,128,3.7,57.2,8125867642,35589294,612.0676341,8622287.358,0.1987385651,5381404.035,43.18999863,25.9009009,97.39102768
Amador,2013,"2,050",221,5,0,20,7,5,0,14,1,0,0,10,2,64,44,18,1,1,0,0,0,"36,620",12.25,2,-22.98,35.23,72.1,117,2.4,69.7,59.1,118,1.9,57.2,8125867642,35589294,612.0676341,8622287.358,0.1987385651,5381404.035,43.18999863,25.9009009,97.39102768
Amador,2012,"7,200",102,1,2,17,6,8,11,3,0,0,0,5,2,55,34,18,3,0,0,0,0,"37,104",40.6,88,5.37,35.23,71,99,1.2,69.7,58.5,113,1.3,57.2,8125867642,35589294,612.0676341,8622287.358,0.1987385651,5381404.035,43.18999863,25.9009009,97.39102768
